Floor,Template,Theme,RecommendedATK,RecommendedDEF,RecommendedHP,Doors_Y,Doors_B,Doors_R,HasShop,HasLore,Notes
1,A,起始区,5,12,200,,,,,,
2,A,起始区,12,12,200,,,,,,
3,A,起始区,5,12,200,,,,,,
4,A,起始区,5,12,200,,,,,,
5,A,起始区,12,12,200,,,,,,
6,A,起始区,16,15,320,,,,,,
7,A,起始区,16,15,320,,,,,,
8,A,起始区,16,15,320,,,,,,
9,A,起始区,16,15,320,,,,,,
10,A,起始区,16,15,320,,,,,,Boss层
11,B,裂隙走廊,20,18,450,,,,,,
12,B,裂隙走廊,20,18,450,,,,,,
13,B,裂隙走廊,20,18,450,,,,,,
14,B,裂隙走廊,20,18,450,,,,,,
15,B,裂隙走廊,20,18,450,,,,,,
16,B,裂隙走廊,25,22,600,,,,,,
17,B,裂隙走廊,25,22,600,,,,,,
18,B,裂隙走廊,25,22,600,,,,,,
19,B,裂隙走廊,25,22,600,,,,,,
20,B,裂隙走廊,25,22,600,,,,,,Boss层
21,C,逆旋迷宫,30,28,850,,,,,,
22,C,逆旋迷宫,30,28,850,,,,,,
23,C,逆旋迷宫,30,28,850,,,,,,
24,C,逆旋迷宫,30,28,850,,,,,,
25,C,逆旋迷宫,30,28,850,,,,,,
26,C,逆旋迷宫,36,34,1100,,,,,,
27,C,逆旋迷宫,36,34,1100,,,,,,
28,C,逆旋迷宫,36,34,1100,,,,,,
29,C,逆旋迷宫,36,34,1100,,,,,,
30,C,逆旋迷宫,36,34,1100,,,,,,Boss层
